iter	RMSE
0	4715.29945
1	4558.199275
2	4409.258649
3	4268.234298
4	4138.524421
5	4020.893653
6	3911.968353
7	3810.17261
8	3711.918553
9	3623.991887
10	3541.055003
11	3460.688948
12	3387.737709
13	3322.512738
14	3259.562967
15	3202.674046
16	3149.070125
17	3098.806171
18	3052.398513
19	3009.408324
20	2969.145404
21	2935.092587
22	2902.861805
23	2873.091998
24	2843.780155
25	2816.251427
26	2792.110629
27	2770.240202
28	2750.372801
29	2731.152867
30	2714.094904
31	2696.906488
32	2681.588349
33	2668.713858
34	2656.712671
35	2645.611789
36	2634.87097
37	2625.327013
38	2617.880748
39	2609.211062
40	2600.310354
41	2593.69649
42	2584.200645
43	2577.613626
44	2572.893887
45	2565.781596
46	2558.935038
47	2553.965283
48	2547.451915
49	2543.095888
50	2537.354466
51	2534.737186
52	2530.902443
53	2526.715441
54	2522.9295
55	2515.202785
56	2510.505789
57	2508.196895
58	2506.549683
59	2503.191528
60	2500.290331
61	2497.858228
62	2495.760946
63	2493.71408
64	2490.601697
65	2489.233644
66	2486.715485
67	2484.319278
68	2479.540462
69	2474.228577
70	2470.381077
71	2468.757863
72	2465.596761
73	2464.055233
74	2461.604199
75	2459.666888
76	2457.798291
77	2456.272514
78	2454.666292
79	2452.115509
80	2450.027557
81	2447.905566
82	2446.225225
83	2443.062228
84	2439.483154
85	2433.801862
86	2432.326914
87	2431.363509
88	2428.552467
89	2424.807058
90	2422.807333
91	2420.789516
92	2419.076061
93	2417.170383
94	2416.670233
95	2414.568316
96	2411.067852
97	2408.56797
98	2407.39552
99	2404.663783
100	2403.494147
101	2402.168673
102	2401.283041
103	2401.218934
104	2399.81355
105	2398.392788
106	2395.821827
107	2393.778257
108	2390.441551
109	2389.4812
110	2388.532217
111	2387.18255
112	2386.372391
113	2385.824824
114	2383.293615
115	2380.874296
116	2378.332815
117	2377.778334
118	2373.991543
119	2372.736509
120	2372.071923
121	2371.527067
122	2370.052618
123	2368.689105
124	2367.413956
125	2365.243449
