iter	Passed	Remaining
0	5	2690
1	10	2679
2	16	2664
3	21	2637
4	27	2720
5	33	2731
6	38	2718
7	44	2708
8	49	2702
9	56	2753
10	63	2837
11	69	2810
12	74	2788
13	81	2836
14	87	2840
15	93	2817
16	98	2808
17	103	2763
18	107	2726
19	112	2699
20	116	2666
21	121	2641
22	126	2617
23	130	2587
24	134	2564
25	139	2537
26	143	2514
27	147	2492
28	152	2471
29	156	2450
30	160	2430
31	164	2410
32	169	2391
33	173	2377
34	177	2363
35	182	2349
36	186	2333
37	193	2350
38	198	2351
39	204	2353
40	209	2347
41	215	2347
42	221	2351
43	225	2337
44	229	2324
45	234	2313
46	239	2304
47	243	2291
48	247	2278
49	251	2267
50	256	2255
51	260	2242
52	264	2230
53	268	2221
54	273	2212
55	277	2201
56	282	2192
57	286	2181
58	290	2171
59	294	2161
60	299	2156
61	303	2146
62	308	2138
63	312	2129
64	316	2120
65	321	2110
66	325	2101
67	329	2092
68	333	2085
69	338	2076
70	342	2068
71	346	2059
72	350	2050
73	354	2042
74	358	2033
75	363	2026
76	367	2019
77	372	2013
78	376	2006
79	380	1999
80	387	2003
81	392	2003
82	397	1999
83	404	2000
84	409	2000
85	415	1998
86	419	1990
87	423	1984
88	429	1981
89	433	1974
90	437	1966
91	441	1960
92	446	1952
93	450	1945
94	453	1934
95	458	1927
96	462	1920
97	467	1916
98	471	1910
99	475	1902
100	479	1895
101	484	1888
102	488	1881
103	490	1866
104	494	1860
105	498	1853
106	503	1847
107	507	1841
108	511	1835
109	515	1828
110	519	1822
111	524	1815
112	528	1809
113	532	1803
114	536	1796
115	540	1790
116	545	1784
117	549	1777
118	553	1771
119	557	1765
120	562	1760
121	566	1754
122	570	1748
123	574	1742
124	581	1743
125	586	1741
126	591	1737
127	596	1734
128	604	1737
129	610	1738
130	617	1739
131	622	1735
132	628	1734
133	634	1732
134	639	1729
135	644	1726
136	649	1720
137	653	1714
138	657	1708
139	662	1703
140	666	1697
141	670	1691
142	675	1685
143	679	1679
144	683	1674
145	687	1667
146	692	1661
147	696	1656
148	700	1650
149	704	1644
150	709	1639
151	713	1633
152	717	1627
153	721	1621
154	726	1615
155	730	1610
156	735	1606
157	741	1605
158	746	1601
159	751	1597
160	756	1592
161	760	1587
162	765	1581
163	772	1582
164	777	1578
165	782	1573
166	787	1570
167	792	1566
168	798	1564
169	805	1563
170	810	1559
171	815	1554
172	821	1553
173	826	1548
174	831	1543
175	836	1540
176	841	1536
177	846	1532
178	853	1530
179	858	1526
180	863	1521
181	868	1518
182	874	1514
183	879	1509
184	884	1506
185	889	1502
186	895	1498
187	900	1495
188	906	1491
189	911	1487
190	916	1483
191	922	1479
192	929	1477
193	934	1474
194	940	1470
195	947	1469
196	956	1470
197	962	1467
198	968	1465
199	977	1466
200	983	1462
201	988	1458
202	995	1456
203	1002	1453
204	1013	1458
205	1018	1454
206	1024	1450
207	1029	1445
208	1035	1441
209	1041	1437
210	1046	1433
211	1051	1428
212	1057	1425
213	1063	1420
214	1068	1415
215	1073	1411
216	1078	1406
217	1083	1401
218	1088	1396
219	1095	1394
220	1099	1388
221	1106	1385
222	1110	1379
223	1114	1373
224	1119	1368
225	1123	1362
226	1130	1360
227	1136	1355
228	1142	1352
229	1151	1351
230	1155	1345
231	1160	1340
232	1165	1335
233	1169	1329
234	1174	1324
235	1178	1318
236	1184	1314
237	1190	1310
238	1196	1306
239	1201	1301
240	1208	1298
241	1214	1295
242	1219	1289
243	1224	1284
244	1229	1279
245	1234	1274
246	1238	1268
247	1244	1264
248	1248	1258
249	1253	1253
250	1258	1248
251	1263	1243
252	1267	1237
253	1273	1233
254	1278	1228
255	1284	1224
256	1290	1219
257	1295	1214
258	1300	1209
